Date/Time,Venue,Hours,Distance,Laps,Fastest Lap,Fastest Lap Time
2026-06-24 11:18:03,ACC Kart,0.18999999999999997,5.5047274608,9,6,56.335
2026-06-24 11:56:43,ACC Kart,0.36722222222222217,10.4191522816,8,5,59.115
2026-06-26 09:18:22,ACC Kart,0.5763888888888888,16.0916499664,10,1,60.399
2026-07-12 09:57:37,ACC Kart,0.7236111111111111,20.113785743999998,6,6,56.332
2026-07-12 10:28:43,ACC Kart,0.9508333333333333,26.1435718688,10,1,61.001000000000005
2026-07-16 09:06:09,ACC Kart,1.1836111111111112,32.554879910400004,10,9,56.825
2026-07-16 09:37:29,ACC Kart,1.3702777777777777,38.1267154608,9,4,54.335
2026-07-23 10:13:39,ACC Kart,1.5908333333333335,44.6380642656,11,1,54.969
2026-07-23 10:41:44,ACC Kart,1.7113888888888888,48.212191408,5,2,54.217
2026-07-23 10:59:30,ACC Kart,1.9202777777777775,54.6893647968,11,3,52.71
2026-07-23 12:55:18,ACC Kart,2.147222222222222,61.1733732688,11,1,56.878
2026-07-23 13:28:28,ACC Kart,2.275,64.81398712960001,6,2,55.71
